Coding	Value	Meaning
8	1	January
8	10	October
8	11	November
8	12	December
8	2	February
8	3	March
8	4	April
8	5	May
8	6	June
8	7	July
8	8	August
8	9	September
9	0	Female
9	1	Male
13	-1.000	Date uncertain or unknown
13	-3.000	Preferred not to answer
1001	-1	Do not know
1001	-3	Prefer not to answer
1001	1	White
1001	1001	British
1001	1002	Irish
1001	1003	Any other white background
1001	2	Mixed
1001	2001	White and Black Caribbean
1001	2002	White and Black African
1001	2003	White and Asian
1001	2004	Any other mixed background
1001	3	Asian or Asian British
1001	3001	Indian
1001	3002	Pakistani
1001	3003	Bangladeshi
1001	3004	Any other Asian background
1001	4	Black or Black British
1001	4001	Caribbean
1001	4002	African
1001	4003	Any other Black background
1001	5	Chinese
1001	6	Other ethnic group
240	H01	H01 Emergency excision of appendix
240	H011	H01.1 Emergency excision of abnormal appendix and drainage HFQ
240	H012	H01.2 Emergency excision of abnormal appendix NEC
240	H013	H01.3 Emergency excision of normal appendix
240	H018	H01.8 Other specified emergency excision of appendix
240	H019	H01.9 Unspecified emergency excision of appendix
