Path	Category	FieldID	Field	Participants	Items	Stability	ValueType	Units	ItemType	Strata	Sexed	Instances	Array	Coding	Notes	Link
Population characteristics > Baseline characteristics	100094	31	Sex	502413	502413	Complete	Categorical single	NA	Data	Primary	Unisex	1	1	9	Sex of participant.  Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=31
Population characteristics > Baseline characteristics	100094	34	Year of birth	502413	502413	Complete	Integer	years	Data	Primary	Unisex	1	1	NA	Year of birth of participant. Acquired from central registry, updated by participant.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=34
Population characteristics > Baseline characteristics	100094	52	Month of birth	502413	502413	Complete	Categorical single	NA	Data	Primary	Unisex	1	1	8	Calendar month of birth of participant. Acquired from central registry, updated by participant.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=52
Assessment Centre > Recruitment > Reception	100024	53	Date of attending assessment centre	502414	579587	Complete	Date	NA	Data	Primary	Unisex	4	1	NA	Date when a participant attended a UK Biobank assessment centre.  Automatically acquired at Reception stage.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=53
Assessment Centre > Physical measures > Blood pressure	100011	4080	Systolic blood pressure, automated reading	475231	1061497	Complete	Integer	mmHg	Data	Primary	Unisex	4	2	NA	Blood pressure, automated reading, systolic. Two measures of blood pressure were taken a few moments apart.   Range returned by the Omron device is is 0-255	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4080
Assessment Centre > Verbal interview > Medical conditions	100074	20001	Cancer code, self-reported	45950	54022	Complete	Categorical multiple	NA	Data	Derived	Unisex	4	6	3	Code for cancer. If the participant was uncertain of the type of cancer they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the cancer could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20001
Assessment Centre > Verbal interview > Medical conditions	100074	20002	Non-cancer illness code, self-reported	386743	1145486	Complete	Categorical multiple	NA	Data	Derived	Unisex	4	34	6	Code for non-cancer illness. If the participant was uncertain of the type of illness they had had, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the illness could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".   Note that myasthenia gravis appears twice (under codes 1260 and 1437). Please ensure you use both codes to capture all relevant diagnoses.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20002
Assessment Centre > Verbal interview > Medications	100075	20003	Treatment/medication code	373347	1389143	Complete	Categorical multiple	NA	Data	Primary	Unisex	4	48	4	Code for treatment Negative codes indicate free-text entry.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20003
Assessment Centre > Verbal interview > Operations	100076	20004	Operation code	399178	1003287	Complete	Categorical multiple	NA	Data	Derived	Unisex	4	32	5	Code for operation. If the participant was uncertain of the type of operation they had undergone, then they described it to the interviewer (a trained nurse) who attempted to place it within the coding tree. If the operation could not be located in the coding tree then the interviewer entered a free-text description of it. These free-text descriptions were subsequently examined by a doctor and, where possible, matched to entries in the coding tree. Free-text descriptions which could not be matched with very high probability have been marked as ""unclassifiable"".	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20004
Assessment Centre > Verbal interview > Medical conditions	100074	20006	Interpolated Year when cancer first diagnosed	45950	54022	Complete	Continuous	years	Data	Primary	Unisex	4	6	13	This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, measured in years.    If the participant gave a calendar year, then the best-fit time is half-way through that year. For example if the year was given as 1970, then the value presented is 1970.5   If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is the date at which they were 30years+6months.  Interpolated values before the date of birth were truncated forwards to that time.   Interpolated values after the time of data acquisition were truncated back to that time.	http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20006
